"year","omgcount","total","source"
1990,451,2162578,"tvm"
1991,602,2264982,"tvm"
1992,533,2143292,"tvm"
1993,705,2549107,"tvm"
1994,769,2946133,"tvm"
1995,937,3377361,"tvm"
1996,949,2944803,"tvm"
1997,870,2941330,"tvm"
1998,953,2955752,"tvm"
1999,1041,2945180,"tvm"
2000,1141,2949068,"tvm"
2001,1211,2943236,"tvm"
2002,1052,2945424,"tvm"
2003,1221,2954728,"tvm"
2004,1254,2950484,"tvm"
2005,1189,2949107,"tvm"
2006,1440,2937420,"tvm"
2007,1390,2945973,"tvm"
2008,1419,2948703,"tvm"
2009,1333,2944607,"tvm"
2010,1366,2959238,"tvm"
2011,1574,2946734,"tvm"
2012,1741,2953379,"tvm"
2013,1674,2964866,"tvm"
2014,1875,2956653,"tvm"
2015,1731,2949057,"tvm"
2016,1486,2960554,"tvm"
2017,1603,2961956,"tvm"
2018,1760,2923590,"tvm"
2019,1818,2919359,"tvm"
1990,0,2994867,"acad"
1991,1,3043900,"acad"
1992,0,3027024,"acad"
1993,0,3124076,"acad"
1994,1,3046350,"acad"
1995,1,3020408,"acad"
1996,0,3103742,"acad"
1997,0,3328617,"acad"
1998,4,3094770,"acad"
1999,2,3033896,"acad"
2000,1,3085980,"acad"
2001,0,2986544,"acad"
2002,1,3067085,"acad"
2003,1,3067767,"acad"
2004,0,3041616,"acad"
2005,6,2976006,"acad"
2006,3,3054073,"acad"
2007,1,3249638,"acad"
2008,3,3016533,"acad"
2009,5,2983726,"acad"
2010,2,2877259,"acad"
2011,2,3367013,"acad"
2012,0,3304418,"acad"
2013,4,2702711,"acad"
2014,4,2630874,"acad"
2015,1,2756971,"acad"
2016,1,2954437,"acad"
2017,0,3017392,"acad"
2018,2,3124606,"acad"
2019,0,3036621,"acad"
1990,59,2957426,"fic"
1991,46,3057283,"fic"
1992,35,2859684,"fic"
1993,44,2854359,"fic"
1994,57,2811440,"fic"
1995,44,2800259,"fic"
1996,59,2738049,"fic"
1997,54,2628802,"fic"
1998,55,2763463,"fic"
1999,91,3017650,"fic"
2000,63,2873130,"fic"
2001,99,2834357,"fic"
2002,56,2749464,"fic"
2003,70,3022169,"fic"
2004,83,3003076,"fic"
2005,49,2956459,"fic"
2006,58,3008520,"fic"
2007,75,2965886,"fic"
2008,45,3036889,"fic"
2009,45,2964375,"fic"
2010,44,2854585,"fic"
2011,62,3052122,"fic"
2012,79,2831520,"fic"
2013,50,3117706,"fic"
2014,50,3040882,"fic"
2015,37,3055801,"fic"
2016,39,2376350,"fic"
2017,56,2893267,"fic"
2018,66,2994652,"fic"
2019,37,2992909,"fic"
1990,4,3066874,"mag"
1991,4,3154789,"mag"
1992,8,3201613,"mag"
1993,9,3170868,"mag"
1994,10,3213625,"mag"
1995,7,3208946,"mag"
1996,10,3228176,"mag"
1997,22,3250228,"mag"
1998,16,3272469,"mag"
1999,10,3270365,"mag"
2000,24,3272184,"mag"
2001,30,3204722,"mag"
2002,15,3221093,"mag"
2003,15,3231273,"mag"
2004,23,3233392,"mag"
2005,24,3248609,"mag"
2006,25,3208301,"mag"
2007,31,3148671,"mag"
2008,24,3185191,"mag"
2009,22,2930685,"mag"
2010,30,2828679,"mag"
2011,25,3121137,"mag"
2012,33,3214271,"mag"
2013,30,3125999,"mag"
2014,25,3177800,"mag"
2015,28,3135059,"mag"
2016,19,3026951,"mag"
2017,32,3149398,"mag"
2018,29,3104141,"mag"
2019,33,3107638,"mag"
1990,7,3025469,"news"
1991,9,3049204,"news"
1992,6,3027128,"news"
1993,9,3075512,"news"
1994,5,3068590,"news"
1995,10,3053070,"news"
1996,10,3034666,"news"
1997,12,3080535,"news"
1998,15,3059404,"news"
1999,19,3045376,"news"
2000,20,2991475,"news"
2001,11,3021111,"news"
2002,24,3052681,"news"
2003,18,3005438,"news"
2004,24,3049540,"news"
2005,17,3053104,"news"
2006,18,3055096,"news"
2007,14,2965401,"news"
2008,22,2980513,"news"
2009,23,2919690,"news"
2010,14,2637248,"news"
2011,14,2922935,"news"
2012,14,3076752,"news"
2013,16,3060563,"news"
2014,19,3089316,"news"
2015,21,3062340,"news"
2016,18,3048713,"news"
2017,21,3120232,"news"
2018,21,3115299,"news"
2019,21,3090623,"news"
1990,25,3142050,"spok"
1991,20,3104134,"spok"
1992,60,3231859,"spok"
1993,63,3220522,"spok"
1994,72,3217948,"spok"
1995,64,3263085,"spok"
1996,125,2957755,"spok"
1997,96,2845896,"spok"
1998,103,3234105,"spok"
1999,96,3239311,"spok"
2000,56,3275100,"spok"
2001,80,2968883,"spok"
2002,102,3218580,"spok"
2003,158,3275778,"spok"
2004,107,3213870,"spok"
2005,121,3276966,"spok"
2006,112,3224865,"spok"
2007,119,2929376,"spok"
2008,150,2576889,"spok"
2009,146,2948466,"spok"
2010,208,3062820,"spok"
2011,250,3495933,"spok"
2012,226,3258325,"spok"
2013,237,2952439,"spok"
2014,278,2845592,"spok"
2015,290,2924165,"spok"
2016,247,3032554,"spok"
2017,266,3090583,"spok"
2018,268,3211206,"spok"
2019,242,3195461,"spok"
