name,state,count
"Alaska","AK",140518871
"Alabama","AL",831378545
"Arkansas","AR",403983508
"Arizona","AZ",1234904054
"California","CA",9839198955
"Colorado","CO",911005155
"Connecticut","CT",666581336
"District of Columbia","DC",1530566303
"Delaware","DE",152521351
"Florida","FL",4454758145
"Georgia","GA",2637768037
"Hawaii","HI",248879221
"Iowa","IA",426107123
"Idaho","ID",152508863
"Illinois","IL",2579486667
"Indiana","IN",1069111955
"Kansas","KS",508396784
"Kentucky","KY",729988670
"Louisiana","LA",1069194147
"Massachusetts","MA",1481041801
"Maryland","MD",1195604475
"Maine","ME",141454480
"Michigan","MI",1699381014
"Minnesota","MN",863522520
"Missouri","MO",970116455
"Mississippi","MS",446173329
"Montana","MT",83600826
"North Carolina","NC",1689264959
"North Dakota","ND",75789770
"Nebraska","NE",287844701
"New Hampshire","NH",145601010
"New Jersey","NJ",1802156093
"New Mexico","NM",203773157
"Nevada","NV",784600764
"New York","NY",5767419987
"Ohio","OH",2347477761
"Oklahoma","OK",648603451
"Oregon","OR",749092711
"Pennsylvania","PA",2278583231
"Rhode Island","RI",243919119
"South Carolina","SC",557810150
"South Dakota","SD",55849843
"Tennessee","TN",1292565764
"Texas","TX",7129024652
"Utah","UT",326733948
"Virginia","VA",1620684939
"Vermont","VT",76133775
"Washington","WA",1188331742
"Wisconsin","WI",757289469
"West Virginia","WV",239060250
"Wyoming","WY",44567729
