surprise	0.09823592752218246
disappointment	0.09091336280107498
disgust	0.08187038451433182
irritation	0.07630456984043121
interest	0.07411759346723557
despair	0.06814863532781601
being hurt	0.06522216647863388
sadness	0.05781164392828941
anger	0.051875680685043335
contempt	0.050606898963451385
fear	0.049696072936058044
anxiety	0.04087873920798302
shame	0.04019683599472046
stress	0.037347447127103806
guilt	0.027289370074868202
jealousy	0.02056841552257538
joy	0.017685702070593834
hate	0.01642652414739132
pride	0.01177447009831667
pleasure	0.008778775110840797
happiness	0.006989019922912121
compassion	0.0025999508798122406
contentment	0.002344885841012001
love	0.0023169394116848707
